epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,66455.8,1.47895,1.35684,1.57881,0.50977,0.43109,0.44094,0.21266,1.81945,1.66232,1.85092,0.000155761,0.000155761,0.000155761
92,67173,1.45996,1.3161,1.57354,0.52205,0.42716,0.4424,0.2129,1.81953,1.66262,1.85273,0.000141614,0.000141614,0.000141614
93,67885.8,1.45198,1.31169,1.56621,0.52218,0.4307,0.44295,0.21336,1.81593,1.6613,1.85332,0.000127467,0.000127467,0.000127467
94,68608.4,1.44774,1.30882,1.567,0.53064,0.42088,0.43911,0.21365,1.81939,1.66216,1.86049,0.00011332,0.00011332,0.00011332
95,69333.2,1.44087,1.29718,1.55863,0.51701,0.43702,0.44259,0.21383,1.82088,1.66053,1.86199,9.91726e-05,9.91726e-05,9.91726e-05
96,70056.3,1.43459,1.28743,1.55906,0.52234,0.43261,0.44473,0.21456,1.8209,1.6598,1.8652,8.50255e-05,8.50255e-05,8.50255e-05
97,70776.4,1.43494,1.27708,1.55815,0.51827,0.43122,0.44324,0.21462,1.82057,1.65962,1.8674,7.08784e-05,7.08784e-05,7.08784e-05
98,71493,1.42235,1.27597,1.5455,0.51639,0.43224,0.44311,0.21392,1.82352,1.65698,1.873,5.67313e-05,5.67313e-05,5.67313e-05
99,72206,1.42142,1.27454,1.54905,0.51714,0.43652,0.44242,0.21365,1.82258,1.65777,1.87419,4.25842e-05,4.25842e-05,4.25842e-05
100,72942.9,1.41685,1.26184,1.54196,0.52206,0.43407,0.441,0.21332,1.82209,1.65993,1.87381,2.84371e-05,2.84371e-05,2.84371e-05
